"Name","Status"
"AarSvc_d808a","Stopped"
"ADPSvc","Stopped"
"ALG","Stopped"
"AppIDSvc","Stopped"
"Appinfo","Running"
"AppMgmt","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AppXSvc","Running"
"ApxSvc","Stopped"
"AssignedAccessManagerSvc","Stopped"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"BcastDVRUserService_d808a","Stopped"
"BDESVC","Running"
"BFE","Running"
"BITS","Running"
"BluetoothUserService_d808a","Stopped"
"BrokerInfrastructure","Running"
"BTAGService","Stopped"
"BthAvctpSvc","Stopped"
"bthserv","Stopped"
"camsvc","Running"
"CaptureService_d808a","Stopped"
"cbdhsvc_d808a","Running"
"CDPSvc","Running"
"CDPUserSvc_d808a","Running"
"CertPropSvc","Running"
"ClipSVC","Stopped"
"CloudBackupRestoreSvc_d808a","Stopped"
"cloudidsvc","Stopped"
"COMSysApp","Stopped"
"ConsentUxUserSvc_d808a","Stopped"
"CoreMessagingRegistrar","Running"
"CredentialEnrollmentManagerUserSvc_d808a","Stopped"
"CryptSvc","Running"
"CscService","Stopped"
"DcomLaunch","Running"
"dcsvc","Stopped"
"defragsvc","Stopped"
"DeviceAssociationBrokerSvc_d808a","Stopped"
"DeviceAssociationService","Stopped"
"DeviceInstall","Stopped"
"DevicePickerUserSvc_d808a","Stopped"
"DevicesFlowUserSvc_d808a","Stopped"
"DevQueryBroker","Stopped"
"Dhcp","Running"
"diagsvc","Stopped"
"DiagTrack","Running"
"DialogBlockingService","Stopped"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Running"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"Dnscache","Running"
"DoSvc","Running"
"dot3svc","Stopped"
"DPS","Running"
"DsmSvc","Stopped"
"DsSvc","Running"
"DusmSvc","Running"
"EapHost","Stopped"
"edgeupdate","Stopped"
"edgeupdatem","Stopped"
"EFS","Stopped"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"EventLog","Running"
"EventSystem","Running"
"fdPHost","Stopped"
"FDResPub","Stopped"
"fhsvc","Stopped"
"FontCache","Running"
"FrameServer","Stopped"
"FrameServerMonitor","Stopped"
"GameInputSvc","Stopped"
"GoogleChromeElevationService","Stopped"
"GoogleUpdaterInternalService144.0.7547.0","Stopped"
"GoogleUpdaterInternalService148.0.7730.0","Stopped"
"GoogleUpdaterService144.0.7547.0","Stopped"
"GoogleUpdaterService148.0.7730.0","Stopped"
"gpsvc","Running"
"GraphicsPerfSvc","Stopped"
"hidserv","Stopped"
"hns","Running"
"hpatchmon","Stopped"
"HvHost","Stopped"
"icssvc","Stopped"
"IKEEXT","Stopped"
"InstallService","Running"
"InventorySvc","Running"
"iphlpsvc","Running"
"IpxlatCfgSvc","Stopped"
"KeyIso","Running"
"KtmRm","Stopped"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"lfsvc","Running"
"LicenseManager","Running"
"lltdsvc","Stopped"
"lmhosts","Running"
"LocalKdc","Stopped"
"LSM","Running"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"McmSvc","Stopped"
"McpManagementService","Stopped"
"MDCoreSvc","Running"
"MessagingService_d808a","Stopped"
"MicrosoftCopilotElevationService","Stopped"
"MicrosoftEdgeElevationService","Running"
"midisrv","Stopped"
"mpssvc","Running"
"MSDTC","Stopped"
"MSiSCSI","Stopped"
"msiserver","Stopped"
"MsKeyboardFilter","Stopped"
"NaturalAuthentication","Stopped"
"NcaSvc","Stopped"
"NcbService","Running"
"NcdAutoSetup","Stopped"
"Netlogon","Stopped"
"Netman","Stopped"
"netprofm","Running"
"NetSetupSvc","Stopped"
"NetTcpPortSharing","Stopped"
"NgcCtnrSvc","Running"
"NgcSvc","Running"
"NlaSvc","Stopped"
"NPSMSvc_d808a","Stopped"
"nsi","Running"
"nvagent","Running"
"OneSyncSvc_d808a","Running"
"P9RdrService_d808a","Stopped"
"PcaSvc","Running"
"PeerDistSvc","Stopped"
"PenService_d808a","Stopped"
"perceptionsimulation","Stopped"
"PerfHost","Stopped"
"PhoneSvc","Stopped"
"PimIndexMaintenanceSvc_d808a","Stopped"
"pla","Stopped"
"PlugPlay","Running"
"PolicyAgent","Stopped"
"Power","Running"
"PrintDeviceConfigurationService","Stopped"
"PrintNotify","Stopped"
"PrintScanBrokerService","Stopped"
"PrintWorkflowUserSvc_d808a","Stopped"
"ProfSvc","Running"
"PushToInstall","Stopped"
"QWAVE","Stopped"
"RasAuto","Stopped"
"RasMan","Stopped"
"refsdedupsvc","Stopped"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"RetailDemo","Stopped"
"RmSvc","Running"
"RpcEptMapper","Running"
"RpcLocator","Stopped"
"RpcSs","Running"
"SamSs","Running"
"SCardSvr","Stopped"
"ScDeviceEnum","Stopped"
"Schedule","Running"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Stopped"
"SecurityHealthService","Running"
"SEMgrSvc","Stopped"
"SENS","Running"
"Sense","Stopped"
"SensorDataService","Stopped"
"SensorService","Running"
"SensrSvc","Stopped"
"SessionEnv","Running"
"SharedAccess","Running"
"ShellHWDetection","Running"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTrap","Stopped"
"Spooler","Running"
"sppsvc","Stopped"
"SSDPSRV","Running"
"ssh-agent","Stopped"
"SstpSvc","Stopped"
"StateRepository","Running"
"StiSvc","Stopped"
"StorSvc","Running"
"svsvc","Stopped"
"swprv","Running"
"SysMain","Running"
"SystemEventsBroker","Running"
"TapiSrv","Stopped"
"TermService","Running"
"TextInputManagementService","Running"
"Themes","Running"
"TieringEngineService","Stopped"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UdkUserSvc_d808a","Running"
"UevAgentService","Stopped"
"UmRdpService","Running"
"UnistoreSvc_d808a","Stopped"
"upnphost","Stopped"
"UserDataSvc_d808a","Stopped"
"UserManager","Running"
"UsoSvc","Running"
"VaultSvc","Running"
"vds","Stopped"
"vmcompute","Stopped"
"vmicguestinterface","Running"
"vmicheartbeat","Running"
"vmickvpexchange","Running"
"vmicrdv","Running"
"vmicshutdown","Running"
"vmictimesync","Running"
"vmicvmsession","Stopped"
"vmicvss","Running"
"VSS","Running"
"W32Time","Running"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"Wcmsvc","Running"
"wcncsvc","Stopped"
"WdiServiceHost","Stopped"
"WdiSystemHost","Running"
"WdNisSvc","Running"
"WebClient","Stopped"
"webthreatdefsvc","Running"
"webthreatdefusersvc_d808a","Running"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
