---- Windows Anomaly Log ----
Risk: Dangerous service running (Spooler)
Risk: Dangerous service running (TermService)
Notice: External connection (:::57808)
Notice: External connection (:::49674)
Notice: External connection (:::49669)
Notice: External connection (:::49668)
Notice: External connection (:::49667)
Notice: External connection (:::49666)
Notice: External connection (:::49665)
Notice: External connection (:::49664)
Notice: External connection (:::7680)
Notice: External connection (:::445)
Notice: External connection (:::135)
Notice: External connection (50.19.89.137:65411)
Notice: External connection (20.189.173.10:64556)
Notice: External connection (52.146.137.101:64406)
Notice: External connection (40.98.16.5:63810)
Notice: External connection (50.19.89.137:63243)
Notice: External connection (34.160.81.0:63026)
Notice: External connection (8.8.4.4:62579)
Notice: External connection (8.8.4.4:62209)
Notice: External connection (52.146.137.101:61460)
Notice: External connection (52.182.143.215:61257)
Notice: External connection (74.178.130.41:60391)
Notice: External connection (40.98.16.4:60023)
Notice: External connection (185.199.111.215:59057)
Notice: External connection (150.171.27.10:59038)
Notice: External connection (8.8.4.4:57919)
Notice: External connection (20.50.88.238:57808)
Notice: External connection (83.255.218.211:57807)
Notice: External connection (83.255.218.211:57805)
Notice: External connection (104.18.22.222:56788)
Notice: External connection (65.9.62.116:56340)
Notice: External connection (185.199.111.215:56104)
Notice: External connection (65.9.62.63:56043)
Notice: External connection (50.19.89.137:55044)
Notice: External connection (104.18.22.222:53154)
Notice: External connection (104.18.32.47:51047)
Notice: External connection (20.50.88.238:50533)
Notice: External connection (185.199.111.133:50532)
Notice: External connection (83.255.218.211:49890)
Notice: External connection (4.207.247.138:49691)
