"Name","Id","CPU","WorkingSet"
"AggregatorHost","5752",,"11542528"
"Code","3736","0.15625","50868224"
"Code","5784","0.03125","33435648"
"Code","7304","1.265625","143589376"
"Code","7420","6.578125","349020160"
"Code","7628","0.578125","115331072"
"Code","8476","2.625","135725056"
"Code","8496","2.421875","177360896"
"Code","8584","3.765625","122343424"
"Code","8868","0.671875","117190656"
"Code","10132","0.84375","142622720"
"CrossDeviceResume","7608","0.1875","50229248"
"csrss","748",,"6279168"
"csrss","824",,"6455296"
"csrss","3344",,"8409088"
"ctfmon","644","0.265625","28131328"
"dwm","1208",,"70475776"
"dwm","3968",,"143654912"
"explorer","7328","2.671875","230453248"
"fontdrvhost","528",,"5120000"
"fontdrvhost","536",,"5230592"
"fontdrvhost","3812",,"5746688"
"Idle","0",,"8192"
"LogonUI","1200",,"83243008"
"LsaIso","972",,"4476928"
"lsass","980",,"31461376"
"Memory Compression","2704",,"21028864"
"MicrosoftStartFeedProvider","8072","0.34375","53899264"
"MpDefenderCoreService","4164",,"29339648"
"msedge","1176","2","53452800"
"msedge","1276","0.015625","28893184"
"msedge","2388","0.0625","13213696"
"msedge","3420","0.640625","103964672"
"msedge","3728","4.578125","222068736"
"msedge","3948","34.703125","396668928"
"msedge","5364","0.171875","70393856"
"msedge","6148","0.046875","32858112"
"msedge","6880","0.078125","20434944"
"msedge","6956","5.03125","247730176"
"msedge","7920","2.609375","189587456"
"msedge","8244","4.578125","77971456"
"msedgewebview2","8300","0.0625","40939520"
"msedgewebview2","8528","0.125","40898560"
"msedgewebview2","8856","0.75","125681664"
"msedgewebview2","8960","0.015625","13209600"
"msedgewebview2","9232","0.078125","20520960"
"msedgewebview2","9296","0.390625","91013120"
"MsMpEng","4288",,"291876864"
"NgcIso","4760",,"4743168"
"NisSrv","6768",,"15048704"
"OpenConsole","3988","0.015625","11280384"
"OpenConsole","4268","0.03125","11333632"
"pwsh","8668","2.09375","116555776"
"pwsh","9648","7.125","190816256"
"rdpclip","6552","0.25","18903040"
"Registry","104",,"63000576"
"RuntimeBroker","8220","0.140625","44724224"
"RuntimeBroker","11224","0.109375","29978624"
"SearchHost","7424","0.796875","113848320"
"SearchIndexer","6560",,"36716544"
"Secure System","68",,"31809536"
"SecurityHealthService","10836",,"26705920"
"SecurityHealthSystray","10820","0.015625","13524992"
"services","948",,"11825152"
"ShellHost","7344","0.109375","43085824"
"sihost","4468","0.515625","51249152"
"smartscreen","10780","0.046875","13197312"
"smss","588",,"1744896"
"spoolsv","3860",,"24383488"
"StartMenuExperienceHost","8184","1.3125","154464256"
"svchost","808",,"41684992"
"svchost","1044","0.09375","16187392"
"svchost","1088",,"17313792"
"svchost","1104",,"8241152"
"svchost","1132",,"13733888"
"svchost","1216",,"9342976"
"svchost","1324",,"10170368"
"svchost","1332",,"10989568"
"svchost","1340",,"130514944"
"svchost","1364",,"8372224"
"svchost","1372",,"7450624"
"svchost","1580",,"13930496"
"svchost","1588",,"15933440"
"svchost","1596",,"17203200"
"svchost","1620",,"9207808"
"svchost","1644",,"14491648"
"svchost","1768",,"13414400"
"svchost","1776",,"10887168"
"svchost","1808",,"15675392"
"svchost","1852",,"21340160"
"svchost","1864",,"8134656"
"svchost","1880",,"10117120"
"svchost","1936",,"8888320"
"svchost","1952",,"8495104"
"svchost","1960",,"8134656"
"svchost","2100",,"9637888"
"svchost","2248",,"26443776"
"svchost","2292",,"11317248"
"svchost","2404",,"7270400"
"svchost","2424",,"10674176"
"svchost","2436",,"11083776"
"svchost","2452",,"94285824"
"svchost","2484",,"7819264"
"svchost","2728",,"11689984"
"svchost","2740",,"11784192"
"svchost","2752",,"30089216"
"svchost","2784",,"12582912"
"svchost","2860",,"11259904"
"svchost","2880",,"10653696"
"svchost","2920",,"17768448"
"svchost","2928",,"20516864"
"svchost","3048",,"10813440"
"svchost","3068",,"16916480"
"svchost","3116",,"11431936"
"svchost","3128",,"10416128"
"svchost","3276",,"24662016"
"svchost","3320",,"9510912"
"svchost","3444",,"26087424"
"svchost","3516",,"28880896"
"svchost","3524",,"9306112"
"svchost","3608",,"12775424"
"svchost","3616",,"13430784"
"svchost","3672",,"19771392"
"svchost","3720",,"15867904"
"svchost","3996",,"19472384"
"svchost","4008",,"20783104"
"svchost","4032",,"64442368"
"svchost","4100",,"14077952"
"svchost","4236",,"12464128"
"svchost","4256",,"7651328"
"svchost","4284",,"19456000"
"svchost","4332",,"21430272"
"svchost","4384",,"24178688"
"svchost","4476",,"27889664"
"svchost","4952","0.171875","40017920"
"svchost","4992",,"9252864"
"svchost","5800",,"11182080"
"svchost","5920",,"13312000"
"svchost","6048","0.015625","10858496"
"svchost","6064",,"14565376"
"svchost","6124",,"12443648"
"svchost","6136",,"8921088"
"svchost","6296",,"28348416"
"svchost","6428",,"39854080"
"svchost","6516","0.15625","35893248"
"svchost","6524",,"15876096"
"svchost","6632",,"15204352"
"svchost","6944",,"36110336"
"svchost","7492",,"13885440"
"svchost","7540",,"14057472"
"svchost","7852","0.046875","24133632"
"svchost","8020",,"9146368"
"svchost","8280",,"10862592"
"svchost","8416","0.09375","30351360"
"svchost","9588",,"13484032"
"svchost","9780",,"26882048"
"svchost","9784",,"37240832"
"svchost","10048",,"31903744"
"System","4",,"2588672"
"taskhostw","3168","0.09375","18083840"
"taskhostw","9884","0.015625","9256960"
"UserOOBEBroker","8396","0","11608064"
"VSSVC","2612",,"11792384"
"WidgetBoard","8212","0.125","39444480"
"WidgetService","8680","0.3125","26472448"
"wininit","816",,"9715712"
"winlogon","880",,"15634432"
"winlogon","3392",,"17334272"
"WmiPrvSE","5660",,"12328960"
"wslservice","4304",,"28901376"
"WUDFHost","3760",,"59756544"
