"Name","Status","DisplayName"
"AarSvc_77393","Stopped","Agent Activation Runtime_77393"
"ADPSvc","Stopped","Aggregated Data Platform Service"
"ALG","Stopped","Application Layer Gateway Service"
"AppIDSvc","Stopped","Application Identity"
"Appinfo","Running","Application Information"
"AppMgmt","Stopped","Application Management"
"AppReadiness","Stopped","App Readiness"
"AppVClient","Stopped","Microsoft App-V Client"
"AppXSvc","Running","AppX Deployment Service (AppXSVC)"
"ApxSvc","Stopped","Windows Virtual Audio Device Proxy Service"
"AssignedAccessManagerSvc","Stopped","AssignedAccessManager Service"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"autotimesvc","Stopped","Cellular Time"
"AxInstSV","Stopped","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_77393","Stopped","GameDVR and Broadcast User Service_77393"
"BDESVC","Running","BitLocker Drive Encryption Service"
"BFE","Running","Base Filtering Engine"
"BITS","Stopped","Background Intelligent Transfer Service"
"BluetoothUserService_77393","Stopped","Bluetooth User Support Service_77393"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","Stopped","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Stopped","AVCTP service"
"bthserv","Stopped","Bluetooth Support Service"
"camsvc","Running","Capability Access Manager Service"
"CaptureService_77393","Stopped","CaptureService_77393"
"cbdhsvc_77393","Running","Clipboard User Service_77393"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_77393","Running","Connected Devices Platform User Service_77393"
"CertPropSvc","Running","Certificate Propagation"
"ClipSVC","Running","Client Licence Service (ClipSVC)"
"CloudBackupRestoreSvc_77393","Stopped","Cloud Backup and Restore Service_77393"
"cloudidsvc","Stopped","Microsoft Cloud Identity Service"
"COMSysApp","Stopped","COM+ System Application"
"ConsentUxUserSvc_77393","Stopped","ConsentUX User Service_77393"
"CoreMessagingRegistrar","Running","CoreMessaging"
"CredentialEnrollmentManagerUserSvc_77393","Stopped","CredentialEnrollmentManagerUserSvc_77393"
"CryptSvc","Running","Cryptographic Services"
"CscService","Stopped","Offline Files"
"DcomLaunch","Running","DCOM Server Process Launcher"
"dcsvc","Stopped","Declared Configuration(DC) service"
"defragsvc","Stopped","Optimise drives"
"DeviceAssociationBrokerSvc_77393","Stopped","DeviceAssociationBroker_77393"
"DeviceAssociationService","Stopped","Device Association Service"
"DeviceInstall","Stopped","Device Install Service"
"DevicePickerUserSvc_77393","Stopped","DevicePicker_77393"
"DevicesFlowUserSvc_77393","Stopped","DevicesFlow_77393"
"DevQueryBroker","Stopped","DevQuery Background Discovery Broker"
"Dhcp","Running","DHCP Client"
"diagsvc","Stopped","Diagnostic Execution Service"
"DiagTrack","Running","Connected User Experiences and Telemetry"
"DialogBlockingService","Stopped","DialogBlockingService"
"DispBrokerDesktopSvc","Running","Display Policy Service"
"DisplayEnhancementService","Stopped","Display Enhancement Service"
"DmEnrollmentSvc","Stopped","Device Management Enrollment Service"
"dmwappushservice","Stopped","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Dnscache","Running","DNS Client"
"DoSvc","Running","Delivery Optimization"
"dot3svc","Stopped","Wired AutoConfig"
"DPS","Running","Diagnostic Policy Service"
"DsmSvc","Stopped","Device Setup Manager"
"DsSvc","Running","Data Sharing Service"
"DusmSvc","Running","Data Usage"
"EapHost","Stopped","Extensible Authentication Protocol"
"edgeupdate","Stopped","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Stopped","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Stopped","Encrypting File System (EFS)"
"embeddedmode","Stopped","Embedded Mode"
"EntAppSvc","Stopped","Enterprise App Management Service"
"EventLog","Running","Windows Event Log"
"EventSystem","Running","COM+ Event System"
"fdPHost","Stopped","Function Discovery Provider Host"
"FDResPub","Stopped","Function Discovery Resource Publication"
"fhsvc","Stopped","File History Service"
"FontCache","Running","Windows Font Cache Service"
"FrameServer","Stopped","Windows Camera Frame Server"
"FrameServerMonitor","Stopped","Windows Camera Frame Server Monitor"
"GameInputSvc","Stopped","GameInput Service"
"GoogleChromeElevationService","Stopped","Google Chrome Elevation Service (GoogleChromeElevationService)"
"GoogleUpdaterInternalService144.0.7547.0","Stopped","Google updater internal service (GoogleUpdaterInternalService144.0.7547.0)"
"GoogleUpdaterInternalService148.0.7730.0","Stopped","Google updater internal service (GoogleUpdaterInternalService148.0.7730.0)"
"GoogleUpdaterService144.0.7547.0","Stopped","Google updater service (GoogleUpdaterService144.0.7547.0)"
"GoogleUpdaterService148.0.7730.0","Stopped","Google updater service (GoogleUpdaterService148.0.7730.0)"
"gpsvc","Running","Group Policy Client"
"GraphicsPerfSvc","Stopped","GraphicsPerfSvc"
"hidserv","Stopped","Human Interface Device Service"
"hns","Running","Host Network Service"
"hpatchmon","Stopped","Hotpatch Monitoring Service"
"HvHost","Running","HV Host Service"
"icssvc","Stopped","Windows Mobile Hotspot Service"
"IKEEXT","Stopped","IKE and AuthIP IPsec Keying Modules"
"InstallService","Running","Microsoft Store Install Service"
"InventorySvc","Running","Inventory and Compatibility Appraisal service"
"iphlpsvc","Running","IP Helper"
"IpxlatCfgSvc","Stopped","IP Translation Configuration Service"
"KeyIso","Running","CNG Key Isolation"
"KtmRm","Stopped","KtmRm for Distributed Transaction Coordinator"
"LanmanServer","Running","Server"
"LanmanWorkstation","Running","Workstation"
"lfsvc","Running","Geolocation Service"
"LibreOfficeMaintenance","Stopped","LibreOffice Maintenance Service"
"LicenseManager","Running","Windows License Manager Service"
"lltdsvc","Stopped","Link-Layer Topology Discovery Mapper"
"lmhosts","Running","TCP/IP NetBIOS Helper"
"LocalKdc","Stopped","Kerberos Local Key Distribution Center"
"LSM","Running","Local Session Manager"
"LxpSvc","Stopped","Language Experience Service"
"MapsBroker","Stopped","Downloaded Maps Manager"
"McmSvc","Stopped","Mobile Connectivity Management Service"
"McpManagementService","Stopped","McpManagementService"
"MDCoreSvc","Running","Microsoft Defender Core Service"
"MessagingService_77393","Stopped","MessagingService_77393"
"MicrosoftCopilotElevationService","Stopped","Microsoft Copilot Elevation Service (MicrosoftCopilotElevationService)"
"MicrosoftEdgeElevationService","Stopped","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)"
"midisrv","Stopped","Windows MIDI Service"
